"1","1","1","1","1","1. La Ley Orgánica 15/1999, de 13 de diciembre, de Protección de Datosde Carácter Personal, se aplica a:","Todos los datos de carácter personal registrados en soporte físico, quelos haga susceptibles de tratamiento y a toda modalidad de uso posterior por los sectores público o privado.","A los ficheros mantenidos por personas físicas en el ejercicio de actividades exclusivamente personales o domésticas.","A los ficheros sometidos a la normativa sobre protección de materiasclasificadas.","A los ficheros establecidos para la investigación del terrorismo y deformas graves de delincuencia organizada. No obstante, en estos supuestos, el/la responsable del fichero comunicará previamente la existencia del mismo, sus características generales y s","1"
"2","2","1","1","2","2. Los centros sanitarios tienen la obligación de conservar la documentación clínica como mínimo:","Cinco años contados desde la fecha del inicio de cada proceso asistencial.","Cinco años contados desde la fecha del alta de cada proceso asistencial.","Seis años contados desde la fecha del alta de cada proceso asistencial.","Seis años contados desde la fecha del inicio de cada proceso asistencial.","2"
"3","3","1","1","3","3. El tratamiento de datos se define por la Ley Orgánica 15/1999, de 13de diciembre, de Protección de Datos de Carácter Personal como:","Cualquier información concerniente a personas físicas identificadas oidentificables.","Todo conjunto organizado de datos de carácter personal, cualquieraque fuere la forma o modalidad de su creación, almacenamiento, organización y acceso.","Operaciones y procedimientos técnicos de carácter automatizado o no,que permitan la recogida, grabación, conservación, elaboración, modificación, bloqueo y cancelación, así como las cesiones de datos que resulten de comunicaciones, consultas, interconexio","La persona física o jurídica, de naturaleza pública o privada, u órganoadministrativo, que decida sobre la finalidad, contenido y uso del tratamiento.","3"
"4","4","1","1","4","4. El derecho de oposición en cuanto a los datos de carácter personal:","Se configura como el derecho que tienen los/as interesados/as, endeterminadas circunstancias, a oponerse al/a la médico/a asignado/a.","Es preciso que existan motivos personales y subjetivos, aunque noestén fundados.","Es preciso que los motivos sean fundados y legítimos.","Si se ejerce será previa petición y de forma onerosa, corriendo losgastos de cuenta del/de la paciente.","3"
"5","5","1","1","5","5. El derecho de acceso a los datos de carácter personal sólo podrá serejercitado a intervalos no inferiores:","A seis meses, salvo que el/la interesado/a acredite un interés legítimoal efecto, en cuyo caso podrá ejercitarlo antes.","A cuatro meses, salvo que el/la interesado/a acredite un interés legítimo al efecto, en cuyo caso podrá ejercitarlo antes.","A diez meses, salvo que el/la interesado/a acredite un interés legítimoal efecto, en cuyo caso podrá ejercitarlo antes.","A doce meses, salvo que el/la interesado/a acredite un interés legítimoal efecto, en cuyo caso podrá ejercitarlo antes.","4"
"6","6","1","1","6","6. El/la responsable del tratamiento de los datos de carácter personal tiene la obligación de hacer efectivo el derecho de rectificación o cancelacióndel/de la interesado/a en el plazo de:","5 días.","10 días.","15 días.","20 días.","2"
"7","7","1","1","7","7. El/la Director/a de la Agencia Española de Protección de Datos seránombrado/a por un período de:","Cinco años.","Cuatro años.","Tres años.","Dos años.","2"
"8","8","1","1","8","8. El/la Director de la Agencia Española de Protección de Datos estará asesorado/a por un Consejo Consultivo compuesto, entre otros/as, por:","Dos Diputados/as, propuestos/as por el Congreso de los Diputados/as.","Un miembro de la Real Academia de Bellas Artes, propuesto/a por lamisma.","Tres expertos/as en la materia, propuestos/as por el Consejo Superiorde Universidades.","Un/a representante de los/as usuarios/as y consumidores/as.","4"
"9","9","1","1","9","9. Las infracciones graves en materia de protección de datos de carácterpersonal se sancionan con multa de:","601,01 a 60.101,21 euros.","60.101,21 a 300.506,05 euros.","300.506,05 a 601.012,10 euros.","601.012,10 a 901.518,16 euros.","2"
"10","10","1","1","10","10. Las personas a las que se soliciten datos personales deberán ser previamente informadas de una serie de circunstancias, de modo:","Expreso.","Presunto.","Tácito.","Todas las respuestas anteriores son correctas.","1"
"11","11","1","1","11","11. La regulación del régimen de Autonomía del Paciente se encuentra en:","El Decreto 179/1989, de 14 de noviembre.","La Ley 14/2002, de 14 de diciembre.","La Ley 41/2002, de 14 de noviembre.","La Ley 20/2001, de 14 de noviembre.","3"
"12","12","1","1","12","12. De acuerdo con la norma que regula la Autonomía del Paciente, el certificado médico se define como:","La declaración escrita de un/a médico/a que dé fe del estado de saludde una persona en un determinado momento.","El soporte de cualquier tipo o clase que contiene un conjunto de datose informaciones de carácter asistencial.","Todo dato, cualquiera que sea su forma, clase o tipo, que permite adquirir o ampliar conocimientos sobre el estado físico y la salud de unapersona, o la forma de preservarla, cuidarla, mejorarla o recuperarla.","El conjunto de documentos que contienen los datos, valoraciones einformaciones de cualquier índole sobre la situación y la evoluciónclínica de un/a paciente a lo largo del proceso asistencial.","1"
